"filename", "language", "JavaScript", "Vue", "SCSS", "JSON", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"d:\PersonalProject\house-manager\.eslintrc.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 2, 1, 33
"d:\PersonalProject\house-manager\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"d:\PersonalProject\house-manager\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\PersonalProject\house-manager\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 12, 0, 20
"d:\PersonalProject\house-manager\package-lock.json", "JSON", 0, 0, 0, 9703, 0, 0, 0, 0, 1, 9704
"d:\PersonalProject\house-manager\package.json", "JSON", 0, 0, 0, 73, 0, 0, 0, 0, 1, 74
"d:\PersonalProject\house-manager\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"d:\PersonalProject\house-manager\src\App.vue", "Vue", 0, 23, 0, 0, 0, 0, 0, 0, 12, 35
"d:\PersonalProject\house-manager\src\components\Flow.vue", "Vue", 0, 83, 0, 0, 0, 0, 0, 0, 12, 95
"d:\PersonalProject\house-manager\src\components\Honor.vue", "Vue", 0, 146, 0, 0, 0, 0, 0, 7, 4, 157
"d:\PersonalProject\house-manager\src\components\MyTimer.vue", "Vue", 0, 40, 0, 0, 0, 0, 0, 1, 3, 44
"d:\PersonalProject\house-manager\src\components\PictureWall.vue", "Vue", 0, 62, 0, 0, 0, 0, 0, 3, 3, 68
"d:\PersonalProject\house-manager\src\components\Profile.vue", "Vue", 0, 130, 0, 0, 0, 0, 0, 2, 5, 137
"d:\PersonalProject\house-manager\src\components\SlideShow.vue", "Vue", 0, 210, 0, 0, 0, 0, 0, 20, 5, 235
"d:\PersonalProject\house-manager\src\global.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\PersonalProject\house-manager\src\layout\Components\MHeader.vue", "Vue", 0, 102, 0, 0, 0, 0, 0, 1, 10, 113
"d:\PersonalProject\house-manager\src\layout\Components\MainPage.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\PersonalProject\house-manager\src\layout\Components\SideBar.vue", "Vue", 0, 80, 0, 0, 0, 0, 0, 0, 9, 89
"d:\PersonalProject\house-manager\src\layout\Layout.vue", "Vue", 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\PersonalProject\house-manager\src\main.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\PersonalProject\house-manager\src\router\index.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 14, 14, 215
"d:\PersonalProject\house-manager\src\store\index.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\PersonalProject\house-manager\src\style\Flow.scss", "SCSS", 0, 0, 157, 0, 0, 0, 0, 0, 2, 159
"d:\PersonalProject\house-manager\src\style\appraise.scss", "SCSS", 0, 0, 180, 0, 0, 0, 0, 9, 33, 222
"d:\PersonalProject\house-manager\src\style\checkOrders.scss", "SCSS", 0, 0, 115, 0, 0, 0, 0, 1, 3, 119
"d:\PersonalProject\house-manager\src\style\contract.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\PersonalProject\house-manager\src\style\index.scss", "SCSS", 0, 0, 194, 0, 0, 0, 0, 1, 36, 231
"d:\PersonalProject\house-manager\src\style\login.scss", "SCSS", 0, 0, 115, 0, 0, 0, 0, 1, 8, 124
"d:\PersonalProject\house-manager\src\style\pay.scss", "SCSS", 0, 0, 65, 0, 0, 0, 0, 8, 13, 86
"d:\PersonalProject\house-manager\src\style\repair.scss", "SCSS", 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"d:\PersonalProject\house-manager\src\style\seeHouse.scss", "SCSS", 0, 0, 120, 0, 0, 0, 0, 0, 25, 145
"d:\PersonalProject\house-manager\src\style\service.scss", "SCSS", 0, 0, 118, 0, 0, 0, 0, 4, 22, 144
"d:\PersonalProject\house-manager\src\style\slide.scss", "SCSS", 0, 0, 246, 0, 0, 0, 0, 9, 53, 308
"d:\PersonalProject\house-manager\src\views\Appraise\appraise.vue", "Vue", 0, 106, 0, 0, 0, 0, 0, 0, 19, 125
"d:\PersonalProject\house-manager\src\views\Rent\houseDetail.vue", "Vue", 0, 188, 0, 0, 0, 0, 0, 2, 20, 210
"d:\PersonalProject\house-manager\src\views\Rent\longRent.vue", "Vue", 0, 178, 0, 0, 0, 0, 0, 0, 21, 199
"d:\PersonalProject\house-manager\src\views\Rent\seeHouse.vue", "Vue", 0, 80, 0, 0, 0, 0, 0, 1, 18, 99
"d:\PersonalProject\house-manager\src\views\Rent\shortRent.vue", "Vue", 0, 160, 0, 0, 0, 0, 0, 0, 22, 182
"d:\PersonalProject\house-manager\src\views\Rent\try.vue", "Vue", 0, 329, 0, 0, 0, 0, 0, 0, 9, 338
"d:\PersonalProject\house-manager\src\views\dashboard\dashBoard.vue", "Vue", 0, 16, 0, 0, 0, 0, 0, 0, 11, 27
"d:\PersonalProject\house-manager\src\views\login\login.vue", "Vue", 0, 251, 0, 0, 0, 0, 0, 26, 36, 313
"d:\PersonalProject\house-manager\src\views\login\skip.vue", "Vue", 0, 54, 0, 0, 0, 0, 0, 0, 3, 57
